Precision	Recall
0.0008461	0.2841
0.00137	0.2279
0.001696	0.1957
0.002243	0.1657
0.003469	0.1312
0.004283	0.1149
0.005925	0.09869
0.009342	0.07892
0.01188	0.07317
0.01237	0.06786
0.02308	0.05143
0.03318	0.04414
0.04306	0.0396
0.05316	0.03727
0.07409	0.03236
0.09528	0.02934
0.1713	0.02456
0.2494	0.0214
0.3377	0.01992
0.4327	0.01796
0.5408	0.0165
0.8084	0.0158
0.8357	0.01554
0.9083	0.01508
0.9193	0.01486
