Precision	Recall
0.0002922	0.4094
0.0004891	0.3755
0.0006533	0.3586
0.001375	0.3014
0.002179	0.2609
0.003	0.2298
0.003841	0.2082
0.004087	0.2067
0.0054	0.1766
0.007231	0.1547
0.008831	0.14
0.01173	0.1169
0.01477	0.1012
0.01774	0.08857
0.02108	0.08128
0.02415	0.0755
0.02726	0.06974
0.03127	0.06184
0.03917	0.05289
0.05326	0.04268
0.08068	0.03309
0.1277	0.02706
0.1782	0.02253
0.217	0.01841
0.3031	0.01466
0.3836	0.0132
0.4591	0.01276
0.6278	0.01276
