Precision	Recall
0.008916	0.633
0.01452	0.5959
0.01799	0.572
0.02599	0.5158
0.03791	0.4285
0.04315	0.3879
0.05651	0.3371
0.0755	0.282
0.08026	0.2579
0.08634	0.245
0.1155	0.1839
0.1397	0.1616
0.1551	0.1403
0.1846	0.1379
0.2067	0.1088
0.2334	0.09724
0.3178	0.07643
0.3958	0.06538
0.4754	0.05483
0.5463	0.04455
0.6649	0.0419
0.8615	0.02467
0.8888	0.02398
0.9409	0.01881
0.95	0.01846
