Precision	Recall
0.3688	0.9404
0.5488	0.8692
0.6721	0.7858
0.7414	0.7124
0.7838	0.6533
0.808	0.6048
0.8284	0.5671
0.8482	0.535
0.8586	0.5123
0.866	0.4845
0.8686	0.4601
0.8748	0.4398
0.885	0.4236
0.8906	0.4022
0.8961	0.3854
0.9025	0.3718
0.9088	0.3591
0.9151	0.3421
0.9198	0.3289
0.9249	0.3071
0.9274	0.2904
0.9324	0.2716
0.9348	0.2532
0.9406	0.2385
0.9442	0.2204
0.9454	0.1957
0.9517	0.1798
0.9614	0.156
0.9739	0.121
0.9767	0.08256
