Precision	Recall
0.003214	0.7549
0.005272	0.7357
0.0064	0.7219
0.0134	0.6644
0.02229	0.6195
0.03187	0.5827
0.04113	0.5548
0.04078	0.5482
0.05707	0.5097
0.06998	0.4723
0.0839	0.4436
0.103	0.4003
0.1193	0.3663
0.1375	0.3428
0.1529	0.3184
0.1676	0.3019
0.1812	0.281
0.2012	0.2586
0.229	0.2284
0.2783	0.1865
0.3337	0.1489
0.4195	0.1147
0.4922	0.08596
0.564	0.06761
0.6484	0.05678
0.7059	0.05142
0.7513	0.04372
0.8474	0.03267
