Precision	Recall
0.0007754	0.3601
0.003303	0.1894
0.009356	0.1168
0.0196	0.08662
0.03539	0.06867
0.05284	0.05921
0.07037	0.04933
0.08685	0.04417
0.09513	0.04037
0.1102	0.03702
0.1238	0.03416
0.1364	0.02988
0.153	0.02856
0.1697	0.02717
0.1831	0.02578
0.1931	0.02428
0.2083	0.02312
0.2287	0.0221
0.2442	0.02156
0.2707	0.02087
0.2908	0.02077
0.3165	0.01904
0.3369	0.01803
0.3574	0.01661
0.3948	0.01683
0.4388	0.01618
0.4705	0.01599
0.5256	0.01543
0.6028	0.01586
0.6828	0.01621
