Precision	Recall
0.222	0.9868
0.2597	0.9734
0.2773	0.9639
0.3393	0.9279
0.3695	0.904
0.3922	0.8805
0.409	0.86
0.4221	0.8455
0.4339	0.8273
0.4529	0.7998
0.468	0.7783
0.4886	0.7428
0.5063	0.716
0.5212	0.6946
0.534	0.6765
0.5463	0.6602
0.5539	0.6416
0.5655	0.6191
0.5813	0.5861
0.6108	0.5412
0.6428	0.4863
0.6754	0.4115
0.6902	0.3549
0.7166	0.3126
0.7404	0.2632
0.7733	0.2282
0.8035	0.1928
0.882	0.1326
