Precision	Recall
0.00024	0.8101
0.006206	0.7406
0.04662	0.6544
0.074	0.6262
0.101	0.6005
0.1273	0.5747
0.1528	0.5484
0.1823	0.522
0.2105	0.5004
0.2344	0.4777
0.2597	0.4587
0.289	0.4401
0.3135	0.4194
0.3387	0.4015
0.3615	0.385
0.3902	0.3643
0.4144	0.343
0.4387	0.3263
0.4584	0.3104
0.4796	0.2913
0.5141	0.2751
0.5473	0.2566
0.5835	0.2367
0.6094	0.2184
0.6325	0.2031
0.6605	0.1851
0.7027	0.1669
0.7446	0.1434
0.8308	0.1139
0.9045	0.07557
