Precision	Recall
0.1706	0.799
0.189	0.7352
0.1962	0.7016
0.2264	0.6162
0.2403	0.5761
0.2481	0.537
0.2527	0.5061
0.2575	0.4881
0.2592	0.4614
0.2628	0.4263
0.2666	0.4029
0.2707	0.3665
0.2718	0.3374
0.273	0.3154
0.2743	0.2984
0.2756	0.2834
0.2782	0.2716
0.2798	0.257
0.2834	0.2363
0.2846	0.2079
0.2898	0.1746
0.2975	0.1407
0.3043	0.1184
0.3056	0.1002
0.3595	0.08282
0.4214	0.07003
0.4781	0.05637
0.6341	0.03835
