Precision	Recall
0.2082	0.7076
0.2146	0.5893
0.2212	0.5457
0.2264	0.491
0.233	0.4277
0.2338	0.3974
0.2385	0.3594
0.2431	0.3108
0.242	0.2996
0.2434	0.2909
0.2462	0.2442
0.248	0.225
0.2527	0.2051
0.2554	0.1901
0.2532	0.1689
0.2539	0.1543
0.2609	0.1248
0.2597	0.1004
0.2589	0.08311
0.2614	0.06759
0.3049	0.05022
0.4295	0.02135
0.5127	0.01579
0.5799	0.009176
0.7167	0.007116
