Precision	Recall
0.2499	0.6372
0.2782	0.4086
0.2926	0.2947
0.2996	0.2369
0.3051	0.2023
0.314	0.1802
0.3195	0.1611
0.3195	0.1474
0.3199	0.1385
0.3192	0.1288
0.3161	0.1204
0.3158	0.1144
0.3278	0.1094
0.3252	0.1027
0.3356	0.09751
0.3475	0.09283
0.3472	0.0888
0.3618	0.08433
0.3683	0.08014
0.3804	0.07492
0.3916	0.07039
0.4085	0.06625
0.414	0.06166
0.4263	0.05751
0.4466	0.05316
0.4739	0.04661
0.4927	0.04245
0.5294	0.0366
0.5995	0.02886
0.6546	0.01972
