ncands	jacp	jaco
10	0.278638	0.306146
20	0.385774	0.385381
30	0.458154	0.429441
3.999658e+01	0.503064	0.458618
4.995287e+01	0.532282	0.479233
5.986339e+01	0.556661	0.496005
6.986339e+01	0.579090	0.515029
7.973156e+01	0.599856	0.526399
8.952391e+01	0.611988	0.535740
9.921516e+01	0.623013	0.544396
1.092152e+02	0.631707	0.550385
1.192152e+02	0.639515	0.559678
1.287411e+02	0.646125	0.564759
1.387411e+02	0.651856	0.573200
1.487411e+02	0.655367	0.578849
1.587411e+02	0.658861	0.585313
1.687411e+02	0.662134	0.591254
2.838784e+02	0.698197	0.625599
2.938784e+02	0.700974	0.628052
3.038784e+02	0.702443	0.629838
3.620014e+02	0.707981	0.641493
6.035710e+02	0.727334	0.679555
6.135710e+02	0.727927	0.679920
6.634829e+02	0.730473	0.683468
6.934829e+02	0.731607	0.684540
8.824617e+02	0.736670	0.694856
9.164508e+02	0.737257	0.697039
9.464508e+02	0.737657	0.697522
1.394431e+03	0.741024	0.709712
1.404431e+03	0.741090	0.709805
1.579370e+03	0.741928	0.712007
1.589370e+03	0.741961	0.712091
1.599370e+03	0.741993	0.712153
1.737024e+03	0.742427	0.713793
1.747024e+03	0.742451	0.713850
1.847024e+03	0.742681	0.714535
1.881013e+03	0.742755	0.715058
1.981013e+03	0.742886	0.715477
3.445610e+03	0.744334	0.723797
3.537031e+03	0.744414	0.724201
4.037031e+03	0.744675	0.725115
4.985444e+03	0.745065	0.726675
5.385444e+03	0.745202	0.727004
5.621609e+03	0.745266	0.727432
6.021609e+03	0.745367	0.727914
6.340853e+03	0.745416	0.728036
8.105456e+03	0.745542	0.728547
1.009442e+04	0.745668	0.729119
1.237391e+04	0.745711	0.729424
1.254412e+04	0.745714	0.729430
1.264412e+04	0.745715	0.729451
1.274412e+04	0.745715	0.729451
1.342250e+04	0.745715	0.729467
1.352250e+04	0.745715	0.729467
1.452250e+04	0.745716	0.729495
2.124035e+04	0.745716	0.729495
2.124702e+04	0.745713	0.729510
