ncands	jacp	jaco
10	0.278638	0.306146
20	0.385774	0.385381
30	0.458154	0.429441
3.999658e+01	0.503064	0.458618
4.995287e+01	0.532282	0.479233
5.986339e+01	0.556661	0.496005
6.986339e+01	0.579090	0.515029
7.973156e+01	0.599856	0.526399
8.952391e+01	0.611988	0.535740
9.921516e+01	0.623013	0.544396
1.092152e+02	0.633862	0.549708
1.092152e+02	0.633862	0.549708
1.192152e+02	0.642852	0.555187
1.487411e+02	0.662794	0.573739
1.587411e+02	0.668235	0.581950
1.687411e+02	0.673483	0.585846
1.787411e+02	0.677132	0.588244
1.887411e+02	0.680676	0.597649
1.987411e+02	0.684206	0.599966
2.087411e+02	0.687432	0.605786
3.238784e+02	0.722877	0.638816
3.338784e+02	0.725476	0.640333
3.438784e+02	0.727848	0.642526
3.938784e+02	0.739171	0.649365
4.038784e+02	0.741195	0.651372
4.820014e+02	0.750319	0.665349
5.819734e+02	0.758743	0.672555
6.619734e+02	0.764696	0.675556
6.919734e+02	0.766548	0.676163
7.916284e+02	0.772110	0.682332
1.033198e+03	0.784053	0.715176
1.093110e+03	0.786711	0.718570
1.448042e+03	0.797447	0.728722
1.658042e+03	0.802295	0.730969
1.803852e+03	0.804632	0.733040
2.259208e+03	0.811846	0.740884
2.279208e+03	0.812160	0.741030
2.379165e+03	0.813717	0.742831
2.479165e+03	0.815106	0.743497
2.732133e+03	0.818517	0.754105
3.082133e+03	0.822066	0.756122
3.112133e+03	0.822223	0.756379
3.732133e+03	0.825326	0.758443
4.700736e+03	0.829931	0.765539
5.370137e+03	0.832949	0.771079
5.690137e+03	0.834333	0.771948
5.890137e+03	0.835122	0.773294
6.378117e+03	0.836779	0.782437
6.553056e+03	0.837297	0.784263
6.573056e+03	0.837346	0.784354
1.015193e+04	0.844559	0.789770
1.348922e+04	0.849296	0.799360
1.367415e+04	0.849511	0.800969
1.368415e+04	0.849521	0.801005
1.709769e+04	0.853016	0.803182
2.294014e+04	0.856802	0.811546
2.312508e+04	0.856905	0.812698
2.730235e+04	0.859122	0.814354
2.916859e+04	0.859867	0.821305
4.119732e+04	0.864089	0.824776
4.273716e+04	0.864612	0.826679
5.684128e+04	0.867326	0.829319
7.070390e+04	0.869309	0.837338
7.324373e+04	0.869625	0.838879
7.364373e+04	0.869671	0.838946
9.463602e+04	0.871993	0.841677
9.663602e+04	0.872196	0.841939
1.209673e+05	0.874244	0.844168
1.625167e+05	0.876628	0.846642
1.824198e+05	0.877505	0.851079
1.967257e+05	0.877947	0.853447
1.977257e+05	0.877975	0.853565
2.146841e+05	0.878306	0.855674
2.148543e+05	0.878309	0.855680
3.219077e+05	0.879988	0.858034
4.221402e+05	0.881257	0.860506
4.886228e+05	0.882018	0.862852
5.762521e+05	0.882868	0.863543
6.934227e+05	0.883915	0.865089
7.035412e+05	0.883973	0.866068
7.116066e+05	0.884017	0.866853
1.072830e+06	0.885903	0.868736
1.091014e+06	0.885993	0.870464
1.131014e+06	0.886158	0.870775
1.133003e+06	0.886165	0.871161
1.494974e+06	0.887160	0.873086
1.497423e+06	0.887165	0.873222
2.057056e+06	0.888048	0.874934
2.157056e+06	0.888193	0.875276
2.357056e+06	0.888294	0.875634
2.357934e+06	0.888295	0.875650
2.358779e+06	0.888295	0.875650
2.366504e+06	0.888293	0.875651
